0,1,2,3,4,5,6,7,8,9
This is the last time we pet sit for the Ringlings.,I miss the days when the political parties just called on the phone.,No more house-sitting for the Ringlings.,Don't worry. He'll be gone by November 9.,I almost prefer the 800-pound gorilla.,"I don't complain about the donkey in the kitchen, Charles.",Let's donate to the Democrats next time.,I told him it was ok to hide out here until after the election.,Was that YOU or the elephant?,He looked so much smaller on Ebay
I still think a simple light bulb gets the idea across.,"I'll have my guy email your guy, and we'll do lunch.",Are you thinking what I'm thinking?,Have you always supported small businesses?,Are you thinking what I'm thinking?,Remember the old days when I had Georgia on my mind?,"I loved the Apple iwatch and Google Glass, but I'm not so sure how I feel about the new Microsoft Office.",Shh... They can hear what we're thinking!,"Have your people call my people, and we'll do lunch.","What do you THINK?"" ""I don't know - how do you FEEL?"
Your tail light is on fire.,"January 23rd, 2017. Why do you ask?","Oh yeah? Well around here, we like the sound barrier just the way it's always been","Yeah, you can't always rely on Google maps.","Given everything else, I’m gonna overlook the busted taillight.","You realize that was a rolling stop back there, right?",Ground control to major dumbass.,You failed to yield upon re-entry.,"Then out of nowhere, officer, some total asteroid cut me off.","You need to practice a little more ground control, Major Tom."
Adam. And you?,"So, now that I AM the last man on Earth...",In real estate we call this an opportunity.,But 'Kim Jong Eun is a stinkyface' was a pretty funny tweet ...,"OK, so I voted wrong -- you act like it's the end of the world!","So just to clarify, that was NOT even if I was the last man on earth?","Don't care what the neighbors might say, I still think you can control the heat easier with a gas range...","Sure, maybe it was Russia. Maybe it was China. For all we know, it was a 400 kiloton guy sitting on his bed in New Jersey!","Your exact words were, ""Maybe if you were the last man on earth.""","Apparently, our neighborhood was ruining the view from his golf course."
I see I have a captive audience,"At this point, does it really matter, red or white?",Of course you'll stay for dinner?,I've noticed you two haven't been mingling.,So where do you two see yourselves in the next five minutes?,Sorry. The magician we hired had to leave suddenly.,"No, I can't say I have ever slept with a fish.","Darlings, I absolutely didn't expect you. The Gambinos said you wouldn't be coming.",Our host thought you might be interested in hearing why I voted for Donald Trump.,"So what part of ""surprise party"" don't you understand?"
And you're sure he didn't mean Sioux?,International law has soooo ruined the crusades.,This will show Atilla that we mean business!,Please tell me these guys are on contingency,It’s 9 now. At least you know the fighting will stop at 5.,"We may get slaughtered, but the hourly rate we negotiated will make us legends.",OK so how 'bout pillaging. Can we still pillage?,I think tomorrow is causal Friday,I thought you were speaking metaphorically when you said we'd need an army of lawyers.,I don't know about Brooks Brothers sponsoring the crusade.
I told you that I am a WASP.,I'll buzz you in.,There are so few places a true WASP can feel comfortable today.,I've think I've figured out the answer to Hamlet's question.,I found it on Airbnbee.,"I went through all the electrical and everything checks out, but I can't seem to locate that buzzing sound you were talking about.",I'm a little buzzed,I'm only in it for the buzz.,I'm totally buzzed.,I'll come home when the buzz wears off.
Now's probably a good time to mention that the affair was with a high-ranking government official.,I think our dinner order has been leaked to the press.,I said LEEKS! LEEKS! It's a vegetable!,The pizza is famous here.,And Spicer thought he could fade into anonymity.,"Is it me, or does every waiter in Eric Trump's new eatery appear to be rushin'?",Five seconds to go before our pizza is free,Just how much did you tip last time?,"I can't imagine what the Paparazzi Pizza is, but I do so enjoy a suprise, don't you?",This restaurant is famous for the pizzarazi.
And he was so humble when we picked him up at the shelter.,We should never had taught him to play chess.,We can best serve you if you tell us why you're disappointed in us.,Before you have him executed I think you should know - he is the one who cleans your litter box.,Perhaps he is about to cough up an edict.,"Fancy Feast is a cat food, not a lifestyle.",John has asked me to marry him.,Why do you say I spoil him?,"We're not asking you to abdicate, just to use the litter box.",You - scratch my belly. And you - tell me I'm a good kitty
Your the one who wanted to domesticate it. I said we should have just eaten it.,"So we're agreed, no more LSD at Burning Man.","opposable thumbs, my ass",Meh. He stopped evolving as an artist years ago.,And this will be the baby's room!,There goes our deposit.,"A million years from now, we're going to get blamed for this.","His first love was the piano, but his hands were too small to reach all the keys.",My kid could do that.,I thought you said these were YOUR paintings...
. . w???????????´???´??o?_?????_??????o?¸??????^~???¯¨?f????????~???¨`???w?¸????????¨´`?¯~¨´???ó?????????¯¨´???o????????????^??????f???????????????????? . .,"Take us to Astro, the Jetson's dog.",Really? Best friend?,"In my experience, they spend most of their time going on walks and playing fetch.","We also need love, Earth people are selfish",Don't we usually beam up a scottie?,It's working backwards. I asked for GOD.,"Our new propulsion system is working! Now, everyone keep telling him he's a good boy, and we'll be home in no time.","You see? The end wags when I call it ""master."" I think we've found one of their leaders.","He seems to respond to one word, ""food""."
Table for Tao?,It's about a 15-minute wait. You have two more questions.,Are all your ingredients local?,"A step towards enlightenment, is to always book ahead.",The restroom is for customers only.,I'm sorry. No shorts. No exceptions.,Tell me you brought some weed.,It could be a while. We are at our peak.,"Since I added wi-fi, no one cares about the meaning of life.",I got a text that my table is ready.
Are you sure you only want the wallet sizes?,Now point to where he touched you.,'I can give you hair – no one's going to know for sure.',To document our elephant in the room.,"OK , in this scene we will be hunting you. Can you give me your scared face?","Simple? Yes, but primitive sells.","Lighten up. One day you won't be fat, you'll be mammoth.","Smile, this one's for the ages.",Of course it doesn't look like you! I'm an Impressionist!,"Come on, think.... We'll never get her back if you can't remember more details!"
We used to catch them twice this size when I was a kid!,I only catch the best fish with this. Classy ones. The biggest fish. Huge.,"It's called ""The Melania"". Guaranteed to catch clownfish.",I guess it makes sense...it’s a Waterford.,Well now I feel under-dressed.,Well that's the last time I use caviar for bait,This is the bait they use at Mar-a-lago.,They told me to use light tackle for fishing off the dock.,"'If I snag that electric eel its going to get interesting.""",If it's Ikea I'm throwing it back.
It’s what we get for watching Fox.,"If this is all they've got, we might as well get back to sinning.","Apparently, that’s the forecast for the rest of eternity.",Brimstone is on after this,First time at Burning Man?,"How ironic. Lots of nudity, but no cable.","When the sponsor break is over, it goes back to Fox News.","I know, it really feels like you're there.","You think this is bad, wait until he switches to the news.",I told you it was one of those timeshare scams.
"Enjoy your trip to Canada, Mr. President.","And may I suggest a horse""?",Now that's what I call a power suit.,Our welder can have it ready this afternoon.,You will find airport security inconvenient.,"Yes, sir, I agree that a white linen pocket square might send mixed signals.","Now, what size sword are you?","But you understand, this still will not protect you from the slings and arrows of outrageous fortune.",It’s very 1350s,"Oh, absolutely - all the senators are wearing these to their town hall meetings these days."
"Gary, a woman has been strangled to death, and you bring me the only six women in this entire town who don't have any arms?",This is what happens with chain migration.,We're out of suspects. Nobody else will open up.,Alibis? Look at them! They don't have a leg to stand on.,"We could try to get them to open up, but I think we already know what we'll find.","NO, you may not twist my head off.",Looks like they were all in on it,"Innocent? No, they're all in it together.",How many more times are we going to reopen this case?,I thought we had one suspect until we looked into it further.
My taxes. My slide.,Go play inside with the rest of the kids.,IN MY DAY WE HAD SLIDE RULES,"It's over, Tommy. We just can't lie about adulthood anymore.",This is the slide for reliving childhood.  The childhood slide is over there.,Pretend you don't know me.,Congress is in recess this week.,"Slide’s over there, kid. The slippery slope is for adults.",Did you sign up on the app?,"Okay, you stand watch and let us know when you see our boss"
"You do know how many preservatives they use here, don't you?","I realize it's a pyramid scheme, but let's just say I'm in de Nile.","No, thanks. I just had a kebab at the Hanging Gardens of Babylon.",Welcome  to Trump Towers at the Vallley of the Damned.,Probably not as old as the ones spinning in the convenience store...,No one knows how they're made.,"""The good news is that the guy says they're repurposing  ruins of failed civilizations.  The bad news is that next week they're opening up at the Washington Monument.","If you don't like this, I saw a McDonalds at the Sphinx",… and after he finished Trump University he scooped up this little operation.,I think we’re really just paying for the view.
"Don't knock my ride, fellas. This baby purrs.",You should hear the engine on this baby purr!,This mouse in New Your City_Smiled as she rode on a kitty._They returned from the ride_With the mouse inside_And the smile on the face of the kitty.,She corners like a dream and listen to that purr.,This is his eighth life. He’s mellowed.,It’s jerry and tom now,"‘Some whispering, mostly catnip.’",The first step was to find a cat with a mouse food allergy.,You become friends with the dog.  That's how.,Therapy animals really do reduce anxiety.
Here’s the tricky part.,Yeah. I’m that good.,I was told my tunes weren't punchy enough.,I can't Handel this.,"I dedicate this next piece to the critics.""",What?  It’s FLIGHT of the Bumblebee?,"And now, the hits.",Now a little something from Dukes Ellington.,"Why yes, it IS a player piano. Why do you ask?",I get a lot of criticism for this next one.
The tracks really tie the rooms together.,"You know, I think I can!",The dining car will be here soon.,"Well, we have lost a few pets.","If you need to use the bathroom, be sure to stop, look, & listen.",George will be home at 6:49.,It really brings out the subway tile in the kitchen.,"Sam will be home at 6:02, or 7:10.","Yes, Thomas is doing great. He works from home now.",My fear is the light at the end of the tunnel is an oncoming train.
Those humpback whales are getting really sarcastic.,If the sharks don’t get us the refined sugar will.,what if we're their mirage?,"So help me God, Carl, you say ""dessert island"" one more time and I will kill you.",I’ve never heard of anyone being stranded on a dessert island.,It looks so desserted.,Wanna sit on the other side and look at the island of naked models again?,I’m gonna wait for one with a bar.,Clearly it's a dessert island.,"Hey, do you think there are lifesavers over there?"
You clearly fail to understand the gravity of the situation.,"You always have to turn everything into a global issue, don’t you?",And our next Earth Day speaker needs no introduction.,I know you’re just warming up,"Are you going to answer the question, or just keep spinning?","My opponent has 'flatly refused' and now he 'roundly condemns' - well, which is it?","So if YOU'RE here, then what planet am I on?",Must you put a spin on everything?,My opponent’s arguments are just all over the map.,My five minutes are up. I'm sure my opponent could go on for ages.
I'm skipping the bouquet toss.,This is the third 'Game of Thrones' wedding I've been in this year.,Why did she laugh after saying ''til death do us part'?,I hear they met clubbing.,"So far, this has been a surprisingly civil ceremony.",Did you take this woman to be your wife?,The bride wore hide.,They said no gifts; they’ve already pillaged more than they need to get started.,Bold choice going with the matching fanny packs.,She’s always gone for horny old men
"And how may I ask, does ten million dollars just disappear?",Stop saying you made the guy disappear! It’s called MURDER!!,"Listen, ""Mr. Razmatazz,"" there are plenty more juries where that one came from.",Seriously.  Make my gavel come back.,"I'd thank you to stop referring to your lawyer as your ""lovely assistant""",You better have something up your sleeve besides your arm.,"Mr. Johnson, we CAN see you, you AREN'T invisible, and you DO have to answer the question.",My gavel will reappear in five seconds or you’re in contempt.,"For you, orange is the new black.","The witness will cease referring to counsel as ""my lovely assistant."""
Thank goodness I don’t have an anal fixation.,How long until the museum kicks us out?,"I like the couch, but the giant eyes over there are making me anxious.",I've been feeling down in the mouth lately.,Do you know your socks don't match?,How can you say that I’m a people pleaser when you’re the one kissing my ass?,I can’t get no satisfaction. I’m not sure why I just said it like that.,"I wouldn't say it's a midlife crisis, exactly. More like a mid-century modern crisis.","If you ask me, you’re the one with the oral fixation.","Dr. Robinson, are you trying to seduce me?"
"Thank you, I'm here all this week - try the breast milk.",I have a few first words.,"Today, I announce my candidacy for President of the United States.","For my first and next fifty songs, I will be singing ""Baby Shark.""","With the eyes of the nation upon me, I would like to announce that I have wet myself.",Finally a Democratic candidate who can go head to head with Trump on his level.,"And diaper rash, what’s up with that?",Wait! You gotta hear him do his impression of you.,"It used to seem like gibberish, but these days it sounds presidential.",You’re both fired!
"The glaciers retreat and these pests arrive.  For me, the next ice age can't come soon enough.",I thought we'd do take-home tonight.,I don't know...do these people make me look fat?,"The meds were making me sleepy, so I'm trying something holistic.",You'll never guess which of us goes extinct,Where's my lint roller?,I brought take-out,I'm having a little work done.,Let's go down to the tarpits and find out if they can swim.,I picked up some appetizers for us.
"Take this to the lab. Out the door, three lefts, take the second corridor on the right, then two more rights, third door on the right, then turn left, and left again....",Call if you begin to hallucinate,This is for that gnawing feeling.,I'm certain that this will help you. Lot's of my friends were in the clinical trial.,"Yes, you're right, I did write Trump's greatest physical condition letter.","If any mole looks suspicious, you should report it immediately to your dermatologist.","And, for the last time, it's Dr. Ratficker--with an ""i""!",This medicine was successfully tested on my 60 children.,This new prescription should help with your hallucinations.,But I did stay in a Holiday Inn last night.
Don't start the potatoes yet.,"Fire good, concept of time bad.",I know it feels like ages.,Of course it's free-range!,"Honey, can you bring me the tongs.",What did you do with the rest of it?,Keep an eye out for a large one-legged chicken.,Daddy always has been a leg man !,It should be ready in about a week.,I don't care if the Flintstones have a gas grill.
Can't you just become Internet famous like a normal cat?,What's the matter? Cat got your free will?,The cat scan came back inconclusive,Simple somnambulism -- or latent Cat-atonia?,I must put the dog out forever! I must put the dog out forever!,"Now open a can of tuna, the good stuff not that cat food stuff, and go back to bed.","... and now, 1.7 cm behind my left ear with your third knuckle.","When you awake, I will have tuna and you’ll have no memory of your catatonic trance.",Hand over the chicken liver pâté and you won't remember a thing when you wake up in the morning.,"Fortunately for you, my underling, I find your opposable thumbs most useful."
I just want to feel more grounded.,"I want to be raked, not blown.",I'll be waiting on the car.,Just remember....I don't want to be cremated!,"I think I understand now, why you said you felt detached.",Hope falls eternal.,We used to be buds!,"In the end, everyone leaves.","See, I told you there's a reason it's called Fall.","Big deal. So you're the last ! You know what they say about pride, don't you ?"
I’d like to welcome a new member to the Extinct Society. Say hello to to the last living Republican.,He represents a market we can no longer ignore.,"If we drain the swamp, where will we go?",You wanted diversity – this is what diversity looks like.,"If you want to blend in, lose the suit. We're business casual.",And now a report from human resources.,"This is Kenny, our new Diversity & Inclusion officer.",Disregard his hideous looks and remember he’s a computer whiz.,"Meet our new intern, Mr. Sendak.",Looks like HR sent us an actual human resource.
One small step for man. One giant walk of shame for mankind.,Here you are sir...floor 2001,Thank you for coming quickly to fix the Presidential toilet.,"I'm off after this ride, you'll have to come down on your own.","So, you like the Astros chances this season?",I spent too much time on WebMD.,"I agree sir, Space Needle is a bit misleading.","What exactly to do you mean by ALL the way up, sir?","Is the sky the limit again, sir?",Does it look like I'm going down?
"I don’t know “Leave Me Alone, I’m Busy”; you have another request?",I'll stop singing if you promise to stop swearing.,"After 25 years, when you say things like “Alexa play music,” I still think you are talking to me.","Next, is a little number I wrote called, 'I hope you took your nitroglycerine pill this morning, Morty.'",I'm so glad we're both putting our Christmas gifts to good use!,Then why did you ask me to accompany you this morning?,"I’ll keep looking, but I don’t think we are going to find your guitar pick until Spring.","There's NO business, like SNOW business, like no business, I know!",Bob deliberated on a fake heart attack,Prenups are SO worth it.
Mormon couples counseling,So...you’re having trouble moving on from college dorm life.,So let's start with your mothers.,I'm afraid this is all your insurance will pay for.,"Well, that's a lot of bunk.","Don't complain to me, you're the one who wanted the group rate.",Are you sure you followed the Ikea instructions?,Let’s take it from the top.,Summer camp anxiety therapy does not include calling our mommies to pick us up right now.,"I know you're all different, but you're all crazy."
This next tune goes out to the little chick that I left at the other end of my migratory route.,"I mean. He’s good, but, should he be appropriating blackbird culture?","Many try to imitate him, but there's only one Rockin' Robin.","This one goes out to all the birds of a feather, who can't flock together. Not yet at least.","Bluesbird, I'd say. Probably a Leadbelly.","He’s pretty good, although he’s clearly winging it.”",I wish he knew something besides 'Wind Beneath My Wings'.,"It's a truly singular and soulful species, but it'll still crap on your windshield.","Shush now, Harold!  It's not every day you see cultural appropriation in the wild.","I've always found strummingbirds a bit pretentious, to be honest."
"Well, for one, your engine's a joke",As I suspected. It’s your bad comic timing belt.,Which way do we go to get to the Republican National Convention?,Here's your problem -- This one belongs in a Town Car.,Looks like your last mechanic used a non-factory part.,Now we know why the timing was off!,"He’s more of a dry wit, but it should hold until we can get a hold of another clown.","Directions to the republican convention or clown college? Just kidding, they’re the same place.",It's the  regulator!,So this is what you meant when you said the engine was acting funny.
"Oh my goodness, I’ve waited 146 million years for this moment, I’m a huge fan!","What do you mean, the asteroid was fake news?!","No, it's Bronte's Thesaurus.",So embarrassing. Would you mind handing me a book? I can't reach,I’m sorry I called Jared Kushner a reptilian monster. That was unfair to you and I apologize.,"Peter, Paul and Mary couldn't make it. 'To Puff' will be fine.  Burp.  Excuse me.","I’m dying to know what happened at the end, after they see that big asteroid on the sky...",My mistake. I thought it said ‘EAT THE AUTHOR’.”,"It’s not Micropachycephalosaurus Rex, it’s just BOB","Godzilla was my mother, not father."
All I said was 'let's talk about your mother',"If you leave now, you still have to pay for the entire hour.",They said taking you on as a patient would be a grave mistake.,Perhaps we shouldn't dig up your past after all.,"It's a metaphor, Gwen.",My advice? Stop digging,"Gwen, the stain is out. Now let's talk about your OCD.",So how long have you been a Republican?,"By my calculations, you'll reach rock bottom before the year's out.",I'm writing you a prescription for Adderall and you'll get a bill for the floor separately.
I'm seeing a specialist.,"So I just said to him, let me scratch my ears and I'll stop peeing in the house.",I had mine reversed on appeal.,I may not be able to lick my own balls but at least now I can lick yours.,One of us looks ridiculous.,I had the opposite problem,"So, Gordo,  first thing you do is find a really small doggie door. Then you give yourself a good running start . . .",I was blind but now I see.,It’s called inversion therapy.,Do it my way and they’ll never get a leash on you again.
"I keep wanting to send him balloons. You know, just to find out.","We heard they were planning on buying and flipping it, but had no idea.",We aren’t returning his antigravity device until he returns our leaf blower.,sn ǝʌoqɐ sǝʌıl ǝɥ,He just doesn't understand the gravity of this situation.,That’s Steve. He flips houses.,"It's a great place to live, but the neighbors are right on top of you.",The Aussie is having a hard time assimilating.,We should have him under for dinner.,He's friendly but not well-grounded.
Wonder what happens when the dog goes by a fire hydrant.,You need to learn to think outside the bubble.,What if it turns out you CAN be too careful?,Can I pop in for a second?,Remember when we used to complain about having to wear masks?,"Dang it, I left my purse in my other bubble.",Sometimes I feel my life is a soap opera.,You know what I miss? Pop culture.,And yes —you still need to wear a condom...,We have nothing to sphere but sphere itself.
"If you give them anything, they'll just waste it on bookmarks.",We are the unread books of your night stands’ past.,"They look friendly, but you can’t judge them by their appearance.",They have a novel approach.,"Careful, we’re in the banned books section.","Back Off, We're Readers!",Just keep walking. No one has touched them in years.,"Don't look now, but 'War and Peace' is gaining on us.",There's a story in here somewhere,"Well, we have to hit the books."
"You're right, it feels great to work out.",No one said I had to work from MY home.,"Sorry honey, I’m going to be late tonight. Things are really crazy at the office right now.",Right. I’ll hold all calls until you’re done showering.,"I like working from home, but I miss being around people.",My new commute is pretty sweet.,I’m loving this new open office plan.,We’re gradually returning to the office.,Tell them I'm at work and will call them later.,"35 Good Mornings, 112 His,  300 Shrugs and 532 FUs. I think we will beat Chicago today."
What is it that you're supposed to do when Death gives you lemons?,It can't be riskier than your tuna casserole leftovers we had last night.,Jesus Helen when Death hands you lemons just say thank you,I'm not sure what to do when Death gives you lemons.,Try one and tell me what you think.”,Would it kill you to try something different?,Of course it's safe - he's wearing a mask.,"Honey, don’t you get it? It’s an offer we can’t refuse.","Honey, we haven’t had company in a year.",Looks like this is the bitter end.
I want to be a clown car... but I feel empty inside.,Would you say you're no longer driven by other people?,"Yes, I do validate parking",Start with when you first recognized that you're a hybrid.,"So the cars in the commercials seem much larger, and the women driving them much happier. Go on.","No, I don't take E-Z Pass.",Maybe it's time you stop and ask for directions,Are you just here for validation?,"From where I sit, I'd say you have more of a gas problem.","So, just when did he leave you for a newer model?"
"After he retired, Fred’s hobby was a huge life saver.",I'd prefer that he reinvent himself.,"""He's just as clever as he looks"".",Your going to need a very good patent attorney .,His therapist says it's just a medieval life crisis,"I thought he liked doing it, but every morning he just says ""well, back to the old grindstone.""",Would you tell him? I just can't.,"The ""N"" took him over a year.",You should have been here last week while he was discovering fire.,Please don't tell him. I've never seen him so happy.
We've brought in a growth specialist.,New growth is very important to me.,He was pruned for this,"All those in favor of adding Arbor Day to our holiday schedule, say aye.",Remember when we promised to elect the company geranium president when the Cubs win the Series?,We're looking for seed money.,10 bucks says the next vote is about either sunlight or water.,"Sorry I'm late, but compost happens.","Frankly, I would have preferred a woman.",Excellent growth this quarter!
"Sorry, Bagley. That seat is taken.","Now, Eighth Vice President is still an important position",I shall now read the last will and testament of Snow White.,"We'll get started in a minute Jack...just waiting for Ivanka, Eric, Don Jr., Melania, Jared, Tiffany and Barron.",So where do you see yourself in seven chairs from now?,I don’t know where people get the idea that I’m unapproachable.,You're hired. I like a man who takes a back seat to no one.,We're looking for a far-sighted individual to teach in our distance learning program.,There's a reason I'm called the chairman.,Was there a question in the back?
I don't think he gets we're trying to LEAVE America.,"Honest Mr. Trump, we're not coming in, we're trying to leave!","OK, who said small hands on deck?","Hold on! We're leaving, not arriving.",Don't worry it's Trump l'oeil.,We just need to make it over the toupée.,Trumpnami! Steer alt right and try to look white and male.,"You had to go and name the boat ""Democracy.""",I'm just glad Trump is finally reaching out to undecided boaters,Amnesty? We're from Jersey!
I know I'll regret this.,You had me at 'apple'.,Have we always had an oven?,"So, technically we're ok.",Where did you find a fork for the holes?,There is a god.,No -- I mean you REALLY shouldn't have.,um..Eve.. where did you find an oven?,"I asked you to be more pious, not to make a pie for us.",Mom's apple pie?
I'm done thinking about what I did.,"OK Mom, I promise to start looking for a job if you'll let me have my old room back.",My parents don't really understand the concept behind leap year.,It's just until I finish grad school.,Do you really think I don’t know what the two of you are doing?,Just wondering how long this time-out is going to last.,Bringing home girls is a bit awkward.,Is he still president?,A lot of millennials are moving back home after college!,"Your dad and I realized you were never moving out, so we are."
"Tell me the truth - does this cone make my ass look big?""","Secret Agents Fido and Rex used the ""Cone of Silence"" for sensitive information.",I'm not a good boy either.,Is this your first time in Rehab?,It has been seven dog years since my last confession.,Labrador receivers,All I see is you.,psst...listen you lick mine and I'll lick yours,I don't know if I can do this for four more years.,"No, YOU let the stick go!"
Can't you see I'm in a meeting?,Your 3 a.m. is here.,"No, I'm asking you - who's my first appointment?",I believe the correct word is 'whom'.,"The new guys from corporate want us to focus less on ""the how"" and more on ""the who""",This desk was made from the tree they lived in,One of our owls is missing.,I'm here for the Hooters interview.,It's whom.,"Around here, we don't ask ""why""."
What!?!? I only have one carry-on!!,What? It's casual Friday.,Well does it look like I just rolled out of bed!,I came as fast as I could,Now do you believe I'm not in bed with the competition?,"I would tell you the story behind the bed, but it hasn't been made up yet.","No, I'd be crazy if I got out of bed for what you're offering.",I literally couldn't get out of bed.,I couldn't find my pants.,"I'm telling you, power naps make me twice as effective."
And then they took my pulse with a big foam finger!,They told me it's called Bloodweiser.,"Apparently, there was too much blood in my alcohol system.","At this point, they say they just want me to be comfortable.",I'm dying for some pretzels.,"Okay, so you were right. Everything does go in one ear and out the other.",It's part of their new Blue Cross/ Pabst Blue Ribbon treatment plan.,My employer went with a plan that excludes general anesthesia.,It only hurts when I think.,it's in one ear and out the other
Your moms right. Rosemary really does make ANYTHING taste delicious!,The CEO told me there would be a promotion in it if this deal was well done.,"So, I'm going to assume you didn't get the promotion!","""As always, Mr. Phelps, should you or any of your I.M. force be caught or killed, the Secretary will disavow any knowledge of your. . ."" Honey, would you go next door and tell Jim they got the wrong patio, again.",We have to prepare for the worst-case scenario.,Retirement barbecue?,Relax. I have a handle on this.,"Another rough day at the office, honey?",Want to bet the burgers are on my desk?,My grandfather Otto called it briefkäse.
